,Zipf_Law,Kolmogorov_Complexity,Syllable_Counts,Word_Lengths,Lexical_Diversity_TTR,Lexical_Diversity_Shannon,POS_Tag_Distribution,Avg_Sentence_Length,Dependency_Complexity,Punctuation_Usage,Readability_Dale_Chall,Readability_Flesch_Kincaid,Referential_Integrity,Cosine_Similarity,WordNet_Similarity,Lexical_Chains,LDA_Topic_Consistency,Style_Consistency,BLEU_Score,Jaccard_Score,ROUGE_Score,Text_Flow_Analysis
Readability_Dale_Chall,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.0,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447
Readability_Flesch_Kincaid,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.0,0.053537454,0.053537454,0.053537443,0.053537447,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
Referential_Integrity,0.053537454,0.053537447,0.053537454,0.053537454,0.053537447,0.053537447,0.053537454,0.053537454,0.053537454,0.053537454,0.053537447,0.053537454,0.0,0.053537454,0.053537447,0.053537454,0.053537454,0.053537454,0.053537443,0.053537454,0.053537454,0.053537454
Cosine_Similarity,0.053537454,0.053537447,0.053537454,0.053537447,0.053537447,0.053537447,0.053537454,0.053537454,0.053537447,0.053537454,0.053537447,0.053537454,0.053537454,0.0,0.053537443,0.053537454,0.053537454,0.053537454,0.053537443,0.053537454,0.053537454,0.053537454
WordNet_Similarity,0.053537443,0.053537443,0.053537443,0.053537443,0.05353744,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537447,0.053537443,0.0,0.053537447,0.053537447,0.053537447,0.053537443,0.053537447,0.053537447,0.053537447
Lexical_Chains,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537454,0.053537454,0.053537447,0.0,0.053537447,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
LDA_Topic_Consistency,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537454,0.053537454,0.053537447,0.053537447,0.0,0.053537454,0.053537443,0.053537447,0.053537447,0.053537447
Style_Consistency,0.053537454,0.053537447,0.053537454,0.053537454,0.053537447,0.053537447,0.053537454,0.053537454,0.053537454,0.053537454,0.053537447,0.053537454,0.053537454,0.053537454,0.053537447,0.053537454,0.053537454,0.0,0.053537443,0.053537454,0.053537454,0.053537454
BLEU_Score,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.053537443,0.0,0.053537447,0.053537447,0.053537447
Jaccard_Score,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537454,0.053537454,0.053537447,0.053537447,0.053537447,0.053537454,0.053537447,0.0,0.053537447,0.053537447
ROUGE_Score,0.053537447,0.053537447,0.053537447,0.053537447,0.05353744,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537454,0.053537454,0.053537447,0.053537447,0.053537447,0.053537454,0.053537447,0.053537447,0.0,0.053537447
Text_Flow_Analysis,0.053537454,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537447,0.053537454,0.053537447,0.053537447,0.053537447,0.053537447,0.053537454,0.053537454,0.053537447,0.053537447,0.053537447,0.053537454,0.053537447,0.053537447,0.053537447,0.0
